customer_id,name,phone,county,gender,age,signup_date
C0001,alice otieno,0732181960,nairobi,F,19,Sep 7 2023
C0002,  Alice Were ,+254794026542,Kisumu,M,52,12/02/2024
C0003,Lucy  Mutua,+254716184959,Thika,M,20,2023-05-03
C0004,BRENDA OTIENO,+254725534192,Mombassa,Female,42,Nov 23 2024
C0005,Grace Omondi,254730564139,mombasa,Female,38,2024-11-15
C0006,Samuel  Kamau,749696532,Nairobi,M,33,Nov 6 2023
C0007,Halima  Kiprono,254778480184,NAIROBI,Female,22,Aug 1 2023
C0008,tony were,+254781489325,Eldoret ,M,34,2024-08-01
C0009,ruth wafula,791171822,Eldoret,Male,37,Apr 18 2024
C0010,CAROLINE ACHIENG,0778713315,Eldoret ,F,63,Jan 3 2023
C0011,Alice Mwangi,+254751834738,Thika ,m,32,26/04/2024
C0012,  Eric Chebet ,254756670106,nairobi,F,30,2023-09-15
C0013,Halima Kamau,+254778108013,nakuru,Female,35,2023-07-02
C0014,  Otieno Mwangi ,0746872343,Eldoret ,m,42,2023-12-11
C0015,Amina  Kiprono,+254720812191,Nakuru,m,48,2023-10-20
C0016,Lucy  Otieno,+254785435346,Thika ,Male,44,2024-06-25
C0017,Brian Njoroge,+254718384251,kisumu,F,57,23/09/2024
C0018,Lucy  Mwende,254741241182,Kisumu ,F,59,Apr 22 2024
C0019,Brenda Mutua,+254716400524,thika,m,50,2024-09-01
C0020,JOHN WERE,0798262045,Kisumu,f,27,04/11/2023
C0021,zainab abdi,+254732260256,Kisumu,f,44,2023-07-28
C0022,  Brenda Njoroge ,254754330365,NAIROBI,Male,32,Nov 27 2024
C0023,PETER MWANGI,254729401965,Nakuru ,m,25,2023-07-19
C0024,Samuel  Mwangi,0783561595,thika,m,63,14/11/2024
C0025,otieno were,0766299468,kisumu,F,36,Oct 20 2024
C0026,peter njoroge,0787214895,mombasa,Male,46,2023-04-05
C0027,Amina Achieng,+254776936763,Thika ,M,48,2023-07-08
C0028,Eric  Were,254731727889,Nakuru ,f,51,2024-09-15
C0029,james barasa,+254748734714,kisumu,Male,48,2023-03-05
C0030,Otieno Were,766587603,Nakuru ,f,27,13/10/2023
C0031,  Brian Wafula ,788937346, Nairobi,Male,37,06/12/2024
C0032,  Ruth Kamau ,0799016272,kisumu,Male,57,11/08/2023
C0033,  Zainab Chebet ,0741708053,Thika,M,35,2023-04-27
C0034,Lucy Kamau,0793745299,Mombassa,M,33,May 19 2023
C0035,ruth chebet,0719314919,Kisumu ,Female,43,Feb 17 2024
C0036,Peter Mwangi,765726284,nakuru,f,44,2024-06-28
