order_id,order_date,customer_name,phone,county,product,category,quantity,unit_price,payment_method,rating
ORD1203,24/02/2025,  Joyce Njoroge ,+254784245088,Mombasa,Sports Shoes,Clothing,1,4470,card,4
ORD1108,2025-04-15,  Lucy Mwangi ,254783028439,mombasa,Ballpoint Pens,Stationery ,4,200,cash,5
ORD1198,May 2 2025,SAMUEL MWANGI,+254794798515,Mombasa,Leather Belt,Clothing,1,720,Mpesa,5
ORD1163,2025-04-21,John Abdi,796201533,Nakuru ,Denim Jeans,Clothing ,2,"2,240",mpesa,5
ORD1100,2025-05-20,otieno njoroge,754788728,NAIROBI,Frying Pan,Home,4,1310,mpesa,1
ORD1172,2025-05-15,  Collins Abdi ,254779855241,Mombasa,Backpack,stationery,2,1730,Mpesa,
ORD1189,Jan 16 2025,  Grace Otieno ,0701660880,Nakuru ,Leather Belt,Clothing ,2,740,card,4
ORD1081,2025-03-15,JOHN WAFULA,+254759640165,Mombasa,Cotton T-Shirt,clothing,3,930,Cash,4
ORD1051,2025-03-27,halima kamau,+254747451712,Kisumu ,Bluetooth Speaker,Electronic,4,"2,640",mpesa,4
ORD1118,27/06/2025,Nasra Kiprono,254714293968,Mombassa,Bluetooth Speaker,electronics,1,"2,710",Cash,4
ORD1187,Jan 9 2025,brian omondi,0750899358,nakuru,Leather Belt,clothing,1,KES 750,mpesa,4
ORD1024,17/06/2025,Collins  Omondi,787277434,Nakuru ,Notebook Set,Stationery,5,KES 350,Card,4
ORD1038,Feb 9 2025,Esther Mutua,+254793618324,Nakuru,Power Bank,Electronics,1,1720,cash,2
ORD1014,Jan 3 2025,JOYCE NJOROGE,254738425135,Eldoret,Bedsheet Set,home,1,"3,040",Cash,5
ORD1084,Jun 23 2025,PETER OMONDI,725831323,Kisumu,Frying Pan,home,2,"1,090",card,5
ORD1059,2025-01-03,PETER CHEBET,254716152809,Thika ,Backpack,Stationery,5,KES 1520,mpesa,
ORD1005,Jun 14 2025,  Kevin Abdi ,0716697848,mombasa,Phone Charger,Electronics,4,840,card,4
ORD1134,2025-01-25,Grace Mutua,+254739596292,nairobi,Leather Belt,Clothing,4,660,mpesa,4
ORD1114,2025-03-06,  Peter Mutua ,0787280801,Mombasa,Frying Pan,home,2,1230,cash,5
ORD1140,2025-06-05,FAITH OTIENO,+254789092753,Mombassa,Denim Jeans,Clothes,1,2360,M-Pesa,4
ORD1037,2025-02-21,DENNIS CHEBET,0741232812,thika,Ballpoint Pens,stationery,2,200,card,2
ORD1042,Mar 15 2025,  Wanjiru Kiprono ,0771093248,Kisumu ,Backpack,stationery,1,1580,Mpesa,4
ORD1154,Jan 6 2025,Collins Kamau,+254766706625,nairobi,Water Bottle,home,1,KES 630,Card,5
ORD1032,11/03/2025,Otieno Wafula,794808313,Mombassa,Leather Belt,clothing,1,740,Card,4
